,Unnamed: 0,Unnamed: 0.1,desc,file_id_full,file_id_thumb,medium,title,year,cluster_count
683,683,683,"Poplars on the Banks of the EpteClaude Oscar Monet  (1891)Tate Modern - LondonPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7264,7263,oil,Poplars on the Banks of the Epte,1891,"{(198, 195, 146): 115679, (27, 34, 34): 353089, (104, 133, 139): 106267, (36, 97, 188): 156485, (59, 74, 74): 219579}"
684,684,684,"Poplars on the Banks of the River EpteClaude Oscar Monet  (1891-1892)Scottish National Gallery - National Galleries of ScotlandPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7288,7287,oil,Poplars on the Banks of the River Epte,1891-1892,"{(174, 152, 91): 188529, (197, 187, 163): 219724, (42, 60, 30): 218948, (121, 114, 28): 252832, (110, 128, 133): 212981}"
685,685,685,"Poplars on the Banks of the River Epte at DuskClaude Oscar Monet  (1891)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7256,7255,oil,Poplars on the Banks of the River Epte at Dusk,1891,"{(34, 33, 20): 186649, (79, 95, 104): 190861, (114, 129, 155): 133376, (167, 166, 166): 292419, (62, 72, 52): 242005}"
686,686,686,"Poplars on the Banks of the River Epte in AutumnClaude Oscar Monet  (1891)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7258,7257,oil,Poplars on the Banks of the River Epte in Autumn,1891,"{(51, 100, 92): 71588, (54, 54, 15): 117091, (158, 97, 18): 190325, (185, 150, 96): 146173, (208, 197, 176): 190241}"
687,687,687,"Poplars on the Banks of the River Epte, Overcast WeatherClaude Oscar Monet  (1891)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7262,7261,oil,"Poplars on the Banks of the River Epte, Overcast Weather",1891,"{(114, 129, 156): 130746, (62, 71, 52): 244368, (80, 96, 104): 191973, (34, 33, 19): 185459, (167, 166, 166): 292764}"
688,688,688,"Poplars on the Banks of the River Epte, Seen from the MarshClaude Oscar Monet  (1891-1892)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7284,7283,oil,"Poplars on the Banks of the River Epte, Seen from the Marsh",1891-1892,"{(175, 156, 126): 124007, (168, 128, 25): 199968, (164, 188, 231): 417332, (51, 49, 33): 201309, (78, 89, 127): 121567}"
689,689,689,"Poplars, View from the MarshClaude Oscar Monet  (1891-1892)Fitzwilliam Museum - University of CambridgePainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7286,7285,oil,"Poplars, View from the Marsh",1891-1892,"{(207, 204, 193): 254734, (62, 88, 14): 196130, (179, 155, 26): 168743, (111, 151, 205): 206058, (94, 107, 115): 127731}"
690,690,690,"Poplars, White and Yellow EffectClaude Oscar Monet  (1891)Philadelphia Museum of ArtPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7260,7259,oil,"Poplars, White and Yellow Effect",1891,"{(198, 132, 47): 128311, (132, 126, 128): 140585, (81, 78, 65): 96121, (167, 181, 210): 258712, (201, 162, 145): 172976}"
691,691,691,"Poplars, Wind EffectClaude Oscar Monet  (1891)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7268,7267,oil,"Poplars, Wind Effect",1891,"{(152, 173, 204): 304634, (61, 106, 131): 132174, (123, 148, 184): 167971, (27, 44, 72): 105465, (49, 104, 65): 127351}"
692,692,692,"Poppies at ArgenteuilClaude Oscar Monet  (1873)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6225,6224,oil,Poppies at Argenteuil,1873,"{(213, 95, 24): 74790, (137, 126, 59): 259617, (108, 185, 234): 72755, (58, 68, 21): 152169, (210, 221, 198): 286021}"
693,693,693,"Poppies at GivernyClaude Oscar Monet  (1887)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7064,7063,oil,Poppies at Giverny,1887,"{(123, 107, 75): 99857, (177, 75, 29): 80256, (26, 23, 20): 184729, (188, 175, 134): 200827, (73, 63, 40): 178181}"
694,694,694,"Poppy FieldClaude Oscar Monet  (1890-1891)Art Institute of ChicagoPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7200,7199,oil,Poppy Field,1890-1891,"{(125, 88, 20): 106828, (68, 79, 123): 42723, (195, 104, 39): 132315, (120, 149, 187): 333784, (48, 39, 18): 88792}"
695,695,695,"Poppy Field, ArgenteuilClaude Oscar Monet  (1875)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6333,6332,oil,"Poppy Field, Argenteuil",1875,"{(205, 190, 162): 290835, (153, 141, 127): 132305, (61, 46, 5): 116295, (121, 99, 29): 195612, (185, 126, 29): 167085}"
696,696,696,"Poppy Field at GivernyClaude Oscar Monet  (1885)Virginia Museum of Fine ArtsPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6941,6940,oil,Poppy Field at Giverny,1885,"{(183, 178, 188): 316003, (87, 119, 147): 70402, (231, 111, 64): 193210, (116, 126, 59): 149022, (44, 43, 27): 152731}"
697,697,697,"Poppy Field, GivernyClaude Oscar Monet  (1890)Smith College Museum of Art - Northampton, MassachusettsPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7196,7195,oil,"Poppy Field, Giverny",1890,"{(27, 48, 54): 139050, (140, 160, 221): 117187, (52, 82, 145): 84829, (193, 193, 229): 210852, (134, 86, 86): 111931}"
698,698,698,"Poppy Field in a Hollow near GivernyClaude Oscar Monet  (1885)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6943,6942,oil,Poppy Field in a Hollow near Giverny,1885,"{(109, 111, 46): 219742, (40, 46, 13): 140523, (202, 209, 184): 219611, (211, 98, 30): 161413, (150, 152, 101): 207881}"
699,699,699,"Poppy Field in GivernyClaude Oscar Monet  (1890)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7198,7197,oil,Poppy Field in Giverny,1890,"{(48, 43, 32): 117158, (78, 72, 103): 93483, (166, 140, 195): 158347, (97, 107, 209): 179819, (183, 65, 42): 112249}"
700,700,700,"Poppy Field near VetheuilClaude Oscar Monet  (1879)Sammlung E.G.BÃƒÂ_hrlePainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6473,6472,oil,Poppy Field near Vetheuil,1879,"{(195, 201, 198): 237638, (148, 159, 139): 151536, (191, 66, 24): 142908, (41, 41, 13): 225588, (87, 100, 51): 161234}"
701,701,701,"The Portal, Harmony in BrownClaude Oscar Monet  (1892)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7296,7295,oil,"The Portal, Harmony in Brown",1892,"{(99, 44, 6): 214902, (64, 19, 3): 159889, (131, 77, 16): 153093, (202, 160, 97): 70004, (165, 112, 45): 90618}"
702,702,702,"The Portal in the SunClaude Oscar Monet  (1892)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7302,7301,oil,The Portal in the Sun,1892,"{(170, 97, 72): 170306, (134, 45, 24): 113970, (123, 127, 194): 64662, (198, 147, 118): 198962, (220, 190, 168): 157321}"
703,703,703,"The Port at TouquesClaude Oscar Monet  (1864)Sterling and Francine Clark Art Institute - Williamstown, MADrawingUploaded Monday, 13 February 2012 by member rocsdadPublic domain",154463,154462,[],The Port at Touques,1864,"{(33, 42, 52): 7041, (196, 204, 199): 9089, (240, 243, 234): 23544, (137, 149, 153): 7939, (84, 96, 104): 8487}"
704,704,704,"Port Donnant, Belle IleClaude Oscar Monet  (1886)Yale University Art GalleryPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7034,7033,oil,"Port Donnant, Belle Ile",1886,"{(170, 119, 26): 148211, (57, 54, 18): 280988, (94, 112, 94): 182556, (211, 170, 100): 138502, (174, 185, 201): 139303}"
705,705,705,"The Porte d'Amont, EtretatClaude Oscar Monet  (1873)Fogg Museum of Art - Harvard UniversityPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6205,6204,oil,"The Porte d'Amont, Etretat",1873,"{(109, 132, 72): 153031, (37, 36, 24): 295279, (66, 80, 43): 190548, (148, 171, 123): 123397, (197, 203, 159): 120969}"
706,706,706,"Port-Goulphar, Belle-IleClaude Oscar Monet  (1887)Art Gallery of New South Wales - SydneyPainting - oil on canvasUploaded Monday, 23 December 2013 by member kohn1foxPublic domain",400484,400483,oil,"Port-Goulphar, Belle-Ile",1887,"{(95, 86, 96): 15888, (63, 59, 65): 14667, (73, 108, 122): 12719, (143, 144, 168): 11333, (101, 128, 149): 18593}"
707,707,707,"The Port of Le Havre, Night EffectClaude Oscar Monet  (1873)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6215,6214,oil,"The Port of Le Havre, Night Effect",1873,"{(33, 15, 19): 228375, (101, 72, 78): 115763, (80, 52, 60): 237439, (58, 33, 38): 197383, (182, 135, 95): 5087}"
708,708,708,"The Port of LondonClaude Oscar Monet  (1871)Amgueddfa Cymru - CardiffPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",379449,379448,oil,The Port of London,1871,"{(191, 196, 194): 28798, (118, 124, 141): 6130, (80, 80, 89): 5873, (44, 45, 53): 4165, (158, 162, 156): 13534}"
709,709,709,"The Port of ZaandamClaude Oscar Monet  (1871)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6135,6134,oil,The Port of Zaandam,1871,"{(42, 15, 23): 189548, (94, 40, 33): 132290, (205, 171, 100): 106092, (213, 205, 156): 217379, (156, 105, 64): 56375}"
710,710,710,"Portrait of an English Painter, BordigheraClaude Oscar Monet  (1884)Tel Aviv Museum of ArtPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6841,6840,oil,"Portrait of an English Painter, Bordighera",1884,"{(209, 138, 25): 36648, (25, 15, 29): 70124, (161, 118, 56): 114443, (198, 63, 8): 23191, (120, 40, 20): 50911}"
711,711,711,"Portrait of a Woman in Normandy CapClaude Oscar Monet  (1890-1895)Private collectionDrawingUploaded Monday, 13 February 2012 by member rocsdadPublic domain",154433,154432,[],Portrait of a Woman in Normandy Cap,1890-1895,"{(150, 26, 1): 5702, (246, 206, 148): 14427, (249, 234, 215): 23757, (227, 104, 5): 12271, (240, 171, 78): 8943}"
712,712,712,"Portrait of BazilleClaude Oscar Monet  (1868)MusÃƒÂ©e FabrePainting - oil on canvasUploaded Thursday, 12 November 2015 by member kohn1foxPublic domain Added 20 days ago.",672188,672187,oil,Portrait of Bazille,1868,"{(34, 34, 25): 22268, (140, 112, 34): 9554, (71, 69, 47): 16431, (194, 171, 67): 17317, (111, 116, 100): 7930}"
713,713,713,"Portrait of Blanche Hoschede at 14 years of AgeClaude Oscar Monet  (1879)MusÃƒÂ©e des Beaux-Arts de RouenPainting - oil on canvasUploaded Sunday, 20 July 2014 by member kohn1foxPublic domain",465608,465607,oil,Portrait of Blanche Hoschede at 14 years of Age,1879,"{(151, 128, 70): 14369, (228, 210, 149): 18807, (162, 52, 17): 5082, (195, 170, 106): 26276, (70, 48, 18): 6866}"
714,714,714,"Portrait of Jean Monet Wearing a Hat with a PompomClaude Oscar Monet  (1869)Foundation BambergPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6064,6063,oil,Portrait of Jean Monet Wearing a Hat with a Pompom,1869,"{(133, 69, 35): 238544, (91, 45, 29): 289199, (39, 14, 15): 203110, (224, 126, 25): 69552, (221, 167, 122): 22521}"
715,715,715,"Portrait of Jeanne ServeauClaude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Sunday, 30 September 2007 by member rocsdadPublic domain",61225,61224,oil,Portrait of Jeanne Serveau,1880,"{(190, 188, 175): 193158, (216, 220, 218): 248137, (69, 75, 89): 173094, (141, 136, 130): 86271, (34, 30, 30): 144536}"
716,716,716,"Portrait of Poly, fisherman at KervillaouenClaude Oscar Monet  (1886)MusÃƒÂ©e Marmottan MonetPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7046,7045,oil,"Portrait of Poly, fisherman at Kervillaouen",1886,"{(191, 188, 146): 290655, (33, 22, 21): 159321, (145, 144, 114): 102669, (62, 61, 59): 173854, (79, 107, 104): 117617}"
717,717,717,"PourvilleClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Saturday, 6 February 2010 by member Baker's DozenPublic domain",187800,187799,oil,Pourville,1882,"{(180, 148, 95): 9783, (92, 92, 71): 17774, (177, 185, 198): 14587, (94, 144, 188): 17599, (159, 118, 55): 14957}"
718,718,718,"The Promenade at ArgenteuilClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6165,6164,oil,The Promenade at Argenteuil,1872,"{(107, 82, 48): 219177, (47, 23, 25): 114610, (166, 160, 183): 227987, (153, 121, 108): 66846, (202, 197, 206): 236218}"
719,719,719,"The Promenade at ArgenteuilClaude Oscar Monet  (1872)National Gallery of Art - Washington DCPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6167,6166,oil,The Promenade at Argenteuil,1872,"{(201, 201, 216): 338403, (165, 134, 91): 123331, (116, 83, 25): 111544, (48, 18, 12): 142336, (183, 181, 196): 261026}"
720,720,720,"Promenade (study)Claude Oscar Monet  (1886)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7002,7001,oil,Promenade (study),1886,"{(78, 39, 18): 118938, (189, 180, 186): 268681, (182, 132, 99): 83645, (121, 82, 61): 126065, (140, 138, 169): 160015}"
721,721,721,"The Promenade with the Railroad Bridge at ArgenteuilClaude Oscar MonetSaint Louis Art MuseumPainting - oil on canvasUploaded Thursday, 19 February 2015 by member kohn1foxPublic domain",556647,556646,oil,The Promenade with the Railroad Bridge at Argenteuil,[],"{(208, 207, 192): 37447, (131, 144, 128): 7221, (61, 82, 66): 9362, (254, 254, 253): 23626, (105, 132, 34): 12344}"
722,722,722,"Pyramids at Port-CotonClaude Oscar Monet  (1886)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7012,7011,oil,Pyramids at Port-Coton,1886,"{(130, 121, 97): 265142, (206, 166, 93): 110876, (103, 81, 54): 244943, (56, 28, 14): 133816, (182, 99, 35): 78398}"
723,723,723,"The 'Pyramids' at Port-CotonClaude Oscar Monet  (1886)Fondation Rau pour le Tiers-MondePainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7016,7015,oil,The 'Pyramids' at Port-Coton,1886,"{(162, 165, 179): 169320, (26, 21, 26): 173134, (87, 100, 110): 270047, (61, 62, 68): 230014, (109, 128, 159): 270506}"
724,724,724,"The 'Pyramids' of Port Coton, Belle-Ile-en-MerClaude Oscar Monet  (1886)Ny Carlsberg Glyptotek - CopenhagenPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7014,7013,oil,"The 'Pyramids' of Port Coton, Belle-Ile-en-Mer",1886,"{(84, 111, 148): 180429, (175, 195, 213): 111806, (118, 145, 188): 240368, (69, 64, 83): 149089, (39, 17, 31): 260284}"
725,725,725,"Quai du LouvreClaude Oscar Monet  (1867)Gemeentemuseum Den HaagPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5918,5917,oil,Quai du Louvre,1867,"{(98, 62, 13): 150503, (45, 26, 5): 122906, (137, 102, 43): 96553, (175, 172, 182): 339440, (175, 150, 95): 49350}"
726,726,726,"The Railroad Bridge at ArgenteuilClaude Oscar Monet  (1873)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6233,6232,oil,The Railroad Bridge at Argenteuil,1873,"{(199, 210, 212): 267856, (125, 178, 237): 258535, (54, 44, 43): 66215, (155, 142, 56): 75398, (76, 106, 166): 94513}"
727,727,727,"The Railroad Station at ArgenteuilClaude Oscar Monet  (1872)MusÃƒÂ©e Tavet-DelacourPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6191,6190,oil,The Railroad Station at Argenteuil,1872,"{(201, 175, 182): 110317, (162, 128, 139): 147273, (132, 97, 98): 142185, (101, 63, 50): 181527, (51, 24, 19): 119778}"
728,728,728,"The Railway Bridge at ArgenteuilClaude Oscar Monet  (1874)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6279,6278,oil,The Railway Bridge at Argenteuil,1874,"{(140, 112, 68): 138997, (102, 67, 26): 189209, (212, 209, 180): 193728, (174, 170, 152): 122929, (41, 22, 12): 184334}"
729,729,729,"The Railway Bridge at ArgenteuilClaude Oscar Monet  (1874)MusÃƒÂ©e Marmottan MonetPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6281,6280,oil,The Railway Bridge at Argenteuil,1874,"{(89, 81, 27): 144932, (210, 202, 162): 156704, (34, 34, 9): 145951, (146, 127, 53): 110821, (187, 175, 113): 140132}"
730,730,730,"The Railway Bridge at ArgenteuilClaude Oscar Monet  (1874)Philadelphia Museum of ArtPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6277,6276,oil,The Railway Bridge at Argenteuil,1874,"{(110, 93, 105): 70818, (37, 22, 10): 178306, (93, 60, 21): 174650, (174, 118, 45): 72499, (186, 165, 137): 307332}"
731,731,731,"Red and Pink PoppiesClaude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6873,6872,oil,Red and Pink Poppies,1883,"{(80, 43, 28): 19211, (189, 124, 58): 46910, (217, 184, 137): 106941, (186, 160, 115): 107016, (120, 122, 98): 28022}"
732,732,732,"Red Azalias in a PotClaude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6889,6888,oil,Red Azalias in a Pot,1883,"{(232, 80, 6): 63884, (110, 87, 68): 38679, (219, 171, 98): 16472, (243, 155, 4): 173485, (45, 32, 21): 46624}"
733,733,733,"The Red HouseClaude Oscar Monet  (1908)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7916,7915,oil,The Red House,1908,"{(179, 123, 107): 142865, (58, 27, 30): 219389, (219, 197, 179): 150807, (212, 55, 13): 154487, (112, 73, 69): 165382}"
734,734,734,"Red Houses at Bjornegaard in the Snow, NorwayClaude Oscar Monet  (1895)MusÃƒÂ©e Marmottan MonetPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7378,7377,oil,"Red Houses at Bjornegaard in the Snow, Norway",1895,"{(148, 142, 179): 254862, (76, 106, 212): 118669, (197, 181, 207): 221307, (184, 42, 44): 50473, (43, 35, 48): 38249}"
735,735,735,"The Red Kerchief, Portrait of Madame MonetClaude Oscar Monet  (1873)Cleveland Museum of ArtPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6203,6202,oil,"The Red Kerchief, Portrait of Madame Monet",1873,"{(124, 101, 91): 156989, (157, 141, 144): 144013, (90, 59, 43): 244505, (208, 197, 198): 45676, (47, 24, 23): 344310}"
736,736,736,"The Red Road near MentonClaude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6847,6846,oil,The Red Road near Menton,1884,"{(135, 105, 59): 145339, (110, 124, 202): 127169, (206, 208, 228): 423881, (47, 36, 28): 113016, (235, 136, 67): 193147}"
737,737,737,"Red Water-LiliesClaude Oscar Monet  (1914-1917)Legion of Honor (Fine Arts Museums of San Francisco)Painting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7930,7929,oil,Red Water-Lilies,1914-1917,"{(60, 98, 183): 221960, (45, 49, 31): 132239, (110, 125, 201): 213124, (97, 108, 104): 205104, (201, 158, 159): 70123}"
738,738,738,"Reflections of Clouds on the Water-Lily Pond (tryptich, center panel)Claude Oscar Monet  (1920-1926)Museum of Modern Art - New YorkPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8166,8165,oil,"Reflections of Clouds on the Water-Lily Pond (tryptich, center panel)",1920-1926,"{(64, 63, 68): 134493, (127, 94, 78): 71959, (199, 131, 59): 58207, (171, 137, 122): 73421, (226, 164, 109): 80287}"
739,739,739,"Reflections of Clouds on the Water-Lily Pond (tryptich, right panel)Claude Oscar Monet  (1920-1926)Museum of Modern Art - New YorkPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8168,8167,oil,"Reflections of Clouds on the Water-Lily Pond (tryptich, right panel)",1920-1926,"{(117, 92, 75): 45846, (72, 68, 66): 242759, (223, 151, 70): 30601, (241, 181, 129): 40335, (166, 132, 110): 25451}"
740,740,740,"Reflections on the WaterClaude Oscar Monet  (1905)Museum of Modern Art - New YorkPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8164,8163,oil,Reflections on the Water,1905,"{(149, 134, 74): 32745, (79, 118, 116): 74308, (66, 77, 68): 227818, (232, 193, 125): 47330, (146, 172, 154): 34544}"
741,741,741,"Regatta at ArgenteuilClaude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6293,6292,oil,Regatta at Argenteuil,1874,"{(100, 106, 52): 45981, (147, 149, 131): 84583, (175, 187, 174): 156251, (47, 46, 13): 39000, (206, 212, 166): 317310}"
742,742,742,"Regatta at ArgenteuilClaude Oscar Monet  (1872)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6179,6178,oil,Regatta at Argenteuil,1872,"{(180, 113, 21): 94933, (99, 124, 100): 220749, (91, 75, 9): 108204, (134, 159, 144): 236185, (219, 190, 119): 87749}"
743,743,743,"Regatta at ArgenteuilClaude Oscar Monet  (1874)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6291,6290,oil,Regatta at Argenteuil,1874,"{(187, 167, 124): 180687, (203, 207, 178): 171226, (132, 126, 86): 105000, (144, 179, 174): 128182, (49, 51, 19): 48512}"
744,744,744,"Regatta at Sainte-AdresseClaude Oscar Monet  (1867)Metropolitan Museum of Art - New York, NYPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5928,5927,oil,Regatta at Sainte-Adresse,1867,"{(80, 56, 29): 118403, (196, 167, 203): 185589, (236, 214, 209): 332170, (216, 156, 110): 94771, (123, 120, 117): 186647}"
745,745,745,"Relaxing in the Garden, ArgenteuilClaude Oscar Monet  (1876)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6361,6360,oil,"Relaxing in the Garden, Argenteuil",1876,"{(64, 83, 26): 290387, (192, 180, 104): 80501, (88, 119, 91): 101739, (20, 39, 14): 279821, (135, 125, 34): 159099}"
746,746,746,"Rio della SaluteClaude Oscar Monet  (1908)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7898,7897,oil,Rio della Salute,1908,"{(209, 169, 128): 177985, (204, 120, 67): 182328, (83, 59, 78): 147964, (144, 98, 84): 209252, (129, 140, 189): 137953}"
747,747,747,"Rio della SaluteClaude Oscar Monet  (1908)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7896,7895,oil,Rio della Salute,1908,"{(118, 79, 70): 200043, (153, 112, 99): 167473, (192, 148, 137): 113989, (29, 23, 27): 199650, (72, 51, 49): 185693}"
748,748,748,"Rio della SaluteClaude Oscar Monet  (1908)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7900,7899,oil,Rio della Salute,1908,"{(172, 88, 44): 190882, (68, 34, 30): 109643, (229, 122, 49): 124732, (116, 66, 41): 235610, (121, 118, 127): 113685}"
749,749,749,"Rising Tide at PourvilleClaude Oscar Monet  (1882)Brooklyn MuseumPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6665,6664,oil,Rising Tide at Pourville,1882,"{(63, 54, 16): 104693, (190, 178, 161): 209459, (140, 143, 151): 191110, (173, 143, 99): 229834, (147, 110, 37): 158914}"
750,750,750,"The RiverClaude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6635,6634,oil,The River,1881,"{(57, 27, 30): 163286, (216, 190, 165): 346679, (101, 79, 88): 112334, (167, 87, 31): 69359, (176, 140, 118): 129438}"
751,751,751,"Riverbank at ArgenteuilClaude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6401,6400,oil,Riverbank at Argenteuil,1877,"{(227, 211, 208): 243099, (84, 56, 38): 178372, (38, 20, 14): 255315, (188, 163, 171): 94267, (141, 101, 82): 99955}"
752,752,752,"The Riverbank at Le Petit-Gennevilliers, SunsetClaude Oscar Monet  (1875)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6325,6324,oil,"The Riverbank at Le Petit-Gennevilliers, Sunset",1875,"{(228, 208, 153): 201475, (114, 67, 13): 187380, (209, 174, 111): 170536, (57, 27, 6): 147934, (175, 109, 36): 130551}"
753,753,753,"The Riverbank at Petit-GennevilliersClaude Oscar Monet  (1875)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6327,6326,oil,The Riverbank at Petit-Gennevilliers,1875,"{(160, 152, 133): 222761, (149, 105, 29): 62715, (38, 32, 18): 154285, (95, 94, 78): 135298, (204, 198, 178): 299991}"
754,754,754,"The River EpteClaude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6917,6916,oil,The River Epte,1885,"{(68, 82, 28): 88552, (195, 175, 109): 228192, (196, 191, 165): 259783, (152, 134, 32): 122992, (138, 133, 129): 123191}"
755,755,755,"The River Epte at GivernyClaude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6863,6862,oil,The River Epte at Giverny,1884,"{(222, 178, 145): 65018, (187, 131, 81): 128789, (144, 89, 47): 168366, (95, 51, 27): 171360, (42, 16, 8): 160790}"
756,756,756,"River Scene at BennecourtClaude Oscar Monet  (1868)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6032,6031,oil,River Scene at Bennecourt,1868,"{(102, 132, 195): 61876, (140, 130, 77): 126872, (25, 24, 12): 363317, (194, 195, 140): 104168, (89, 79, 32): 183423}"
757,757,757,"The Road and the HouseClaude Oscar Monet  (1885)Private collectionDrawing - pastelUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8208,8207,pastel,The Road and the House,1885,"{(182, 172, 167): 118748, (108, 67, 44): 170242, (129, 135, 149): 205224, (209, 145, 69): 65076, (50, 31, 27): 214666}"
